Borough,Transportation,Daily life,Safety,Health,Sports,Entertainment,Demographics
Friedrichshain-Kreuzberg,94,86,82,75,92,98,57
Charlottenburg-Wilmersdorf,91,80,60,73,88,94,72
Steglitz-Zehlendorf,89,73,64,77,75,90,82
Tempelhof-Schöneberg,90,76,67,75,81,86,73
Mitte,94,84,45,71,92,96,46
Neukölln,90,77,70,76,84,82,40
Pankow,89,72,44,70,82,79,82
Lichtenberg,89,76,54,69,90,75,55
Reinickendorf,88,69,50,76,85,77,64
Marzahn-Hellersdorf,87,67,73,75,90,60,47
Spandau,87,66,48,71,89,76,46
Treptow-Köpenick,84,64,32,65,74,81,67
